[['Ruth Davis (basketball)', 'award', 'Pac-12 Conference Women\'s Basketball Player of the Year', '2015-01-01']]
[['Alina Hua', 'startWorksFor', 'Newham University Hospital', '2015-08-05']]
[['Sébastien Boyer', 'endWorksFor', 'Grenoble Alpes University', '2015-08-01']]
[['Tayloria N G Adams', 'startWorksFor', 'University of California, Irvine', '2015-08-01']]
[['Lars Guenther', 'startWorksFor', 'Stellenbosch University', '2015-08-01']]
[['Elizabeth Pellicano', 'startWorksFor', 'University College London', '2015-08-01']]
[['Mitch Brown', 'startWorksFor', 'University of Southern Mississippi', '2015-08-25']]
[['Wasif Tahir', 'endWorksFor', 'Calderdale and Huddersfield NHS Foundation Trust', '2015-08-02']]
[['Phillip D Rivera', 'startWorksFor', 'Massachusetts General Hospital', '2015-08-01']]
[['Roxana Sühring', 'startWorksFor', 'University of Toronto', '2015-08-01']]
[['Raul Rusescu', 'startMemberOf', 'Ankaraspor', '2015-08-22']]
[['Cameron P Clementson', 'endWorksFor', 'Max Planck Institute for Intelligent Systems', '2015-08-31']]
[['Abigail Bretzin', 'startWorksFor', 'Michigan State University', '2015-08-15']]
[['Muhammad Imtiaz', 'startWorksFor', 'Huazhong Agricultural University', '2015-08-24']]
[['Xiao Fang', 'startWorksFor', 'Ohio State University', '2015-08-01']]
[['Sandra H. Sulzer', 'startWorksFor', 'Xavier University of Louisiana', '2015-08-01']]
[['Phuong M Le', 'endWorksFor', 'MD Anderson Cancer Center', '2015-08-09']]
[['Sami Omar Amawi', 'startWorksFor', 'King Abdul Aziz University Hospital', '2015-08-01']]
[['Md Amirul Alam', 'startWorksFor', 'University of Putra Malaysia', '2015-08-17']]
[['Fabien Doubey', 'startMemberOf', 'Groupama–FDJ', '2015-08-01']]
[['Angela M Ríos Gallardo', 'startWorksFor', 'South Colombian University', '2015-08-05']]
[['Haiyan Wang', 'endWorksFor', 'National Science Foundation', '2015-08-27']]
[['Cynthia M Traub', 'startWorksFor', 'Washington University in St. Louis', '2015-08-01']]
[['Jérémie Boga', 'startMemberOf', 'Stade Rennais F.C.', '2015-08-31']]
[['Keith A Edmonds', 'startWorksFor', 'California State University, Fresno', '2015-08-28']]
[['Bence Kocsis', 'startWorksFor', 'Eötvös Loránd University', '2015-08-01']]
[['Orla Deevy', 'endWorksFor', 'Icahn School of Medicine at Mount Sinai', '2015-08-31']]
[['Charles Tapley Hoyt', 'endWorksFor', 'Northeastern University', '2015-08-01']]
[['Nederlandse Spoorwegen', 'startLeader', 'Roger van Boxtel', '2015-08-01']]
[['Alexandra Rogers', 'startWorksFor', 'MIND Institute', '2015-08-01']]
[['Nablus', 'startLeader', 'Sameeh Tbeileh', '2015-08-11']]
[['Luis Merino-Martín', 'startWorksFor', 'Institut national de la recherche agronomique', '2016-08-01']]
[['Yuli Li', 'startWorksFor', 'Shandong University of Traditional Chinese Medicine', '2016-08-26']]
[['Marie-Pierre Gosselin', 'startWorksFor', 'Uni Health', '2016-08-10']]
[['E Andrew Pitchford', 'startWorksFor', 'University of Michigan', '2016-08-20']]
[['Joshua L Keller', 'endWorksFor', 'University Of Cincinnati College Of Medicine', '2016-08-01']]
[['Vijay Rana', 'startWorksFor', 'Arni University', '2016-08-16']]
[['Sharareh Bordbari', 'startWorksFor', 'Essen University Hospital', '2016-08-01']]
[['Jiazhen Sun', 'startWorksFor', 'University of Shanghai for Science and Technology', '2016-08-01']]
[['Jade De Oliveira', 'startWorksFor', 'Universidade do Extremo Sul Catarinense', '2016-08-01']]
[['Hyejeong Seong', 'startWorksFor', 'KAIST', '2016-08-19']]
[['Victoria A A Beunders', 'endWorksFor', 'Zaans Medisch Centrum', '2016-08-01']]
[['Sam Hart', 'startMemberOf', 'Port Vale F.C.', '2016-08-25']]
[['Nuzul Sri Hertanti', 'endWorksFor', 'Muhammadiyah University of Yogyakarta', '2016-08-14']]
[['Osica de Sus', 'endLeader', 'Cezar Filip', '2016-08-01']]
[['Antonio Blanco-González', 'endWorksFor', 'University of Valladolid', '2016-08-31']]
[['Tiago Sotto Mayor', 'endWorksFor', 'Faculdade de Engenharia da Universidade do Porto', '2016-08-01']]
[['Yuxiang Wang', 'startWorksFor', 'Hong Kong Polytechnic University', '2016-08-10']]
[['Hooyar Attar', 'endWorksFor', 'Edith Cowan University', '2016-08-01']]
[['Antanas Radzevičius', 'startWorksFor', 'University of Cambridge', '2016-08-02']]
[['Sharif M Ridwan', 'endWorksFor', 'University of Connecticut Health Center', '2016-08-01']]
[['Sprâncenata', 'endLeader', 'Marin Mihăeșteanu', '2016-08-01']]
[['Jin-Long Zhang', 'startWorksFor', 'Lawrence Berkeley National Laboratory', '2016-08-16']]
[['Jayakumar Nair', 'startWorksFor', 'George Washington University', '2016-08-01']]
[['Sergio Mattarella', 'award', 'Order Of Stara Planina', '2016-08-02']]
[['Rachael W Taylor', 'startWorksFor', 'South London and Maudsley NHS Foundation Trust', '2016-08-20']]
[['Nepal', 'startLeader', 'Pushpa Kamal Dahal', '2016-08-03']]
[['Niya Aleksieva', 'endWorksFor', 'GSK plc', '2016-08-29']]
[['Suzanne L. Tomchuck', 'endWorksFor', 'St. Jude Children\'s Research Hospital', '2016-08-05']]
[['Lauren R Price', 'startWorksFor', 'Purdue University', '2016-08-01']]
[['Renan Vinícius De Araújo', 'startWorksFor', 'University of Groningen', '2016-08-28']]
[['Falk Hassler', 'endWorksFor', 'Graduate Center, CUNY', '2016-08-31']]
[['Roberto Fritsche-Neto', 'startWorksFor', 'Cornell University', '2016-08-01']]
[['Kashyap Maruthi', 'endWorksFor', 'European Institute Of Chemistry And Biology', '2016-08-01']]
[['Clarissa Giebel', 'startWorksFor', 'University of East Anglia', '2016-08-01']]
[['Jessica L. Noviello', 'startWorksFor', 'Arizona State University', '2016-08-01']]
[['10Th Ouyahia Cabinet', 'startLeader', 'Ahmed Ouyahia', '2017-08-15']]
[['Conrad Balatoni', 'startMemberOf', 'Falkirk F.C.', '2017-08-30']]
[['Dimitra Maoutsa', 'endWorksFor', 'Max Planck Institute for Dynamics and Self-Organization', '2017-08-31']]
[['Laura D\'Antuono', 'endWorksFor', 'European Commission', '2017-08-01']]
[['Marcelo Díaz', 'startMemberOf', 'Club Universidad Nacional', '2017-08-01']]
[['John Siegel', 'startWorksFor', 'Penn State DuBois', '2017-08-01']]
[['Sara Sequeira', 'endWorksFor', 'Telecommunications Institute', '2017-08-31']]
[['Nathan A Ahlgren', 'endWorksFor', 'Clark University', '2017-08-31']]
[['Tara Kajaks', 'endWorksFor', 'Toronto Rehabilitation Institute', '2017-08-31']]
[['Nicola Guerin', 'startWorksFor', 'Cancer Council Victoria', '2017-08-07']]
[['Migle Gabrielaite', 'startWorksFor', 'Copenhagen University Hospital', '2017-08-01']]
[['G J Melendez-Torres', 'endWorksFor', 'University Of Warwick Warwick Medical School', '2017-08-31']]
[['Anna Ascott', 'startWorksFor', 'Brighton and Sussex University Hospitals NHS Trust', '2017-08-01']]
[['Luca Martinelli', 'startWorksFor', 'MySociety', '2017-08-01']]
[['Qun Fang', 'startWorksFor', 'Mississippi State University College Of Education', '2017-08-01']]
[['Joshua Young', 'endWorksFor', 'United States Naval Research Laboratory', '2017-08-31']]
[['Valerie A Finlayson', 'startWorksFor', 'University of Hawaiʻi at Mānoa', '2017-08-01']]
[['Taboun Government', 'endLeader', 'Abdelmadjid Tebboune', '2017-08-15']]
[['Sozvezdie', 'startLeader', 'Aleksey Bocharov', '2017-08-01']]
[['Laura Rubio', 'endWorksFor', 'University of Jaén', '2017-08-31']]
[['Mariana Felisa Ballesteros-Escamilla', 'startWorksFor', 'Instituto Politécnico Nacional', '2017-08-07']]
[['New Caledonian Armed Forces', 'startLeader', 'Thierry Marchand', '2017-08-01']]
[['Felício Garino Junior', 'endWorksFor', 'Federal University of Campina Grande', '2017-08-01']]
[['Benny Ryplida', 'startWorksFor', 'Korea National University of Transportation', '2017-08-28']]
[['Claire E Fishman', 'endWorksFor', 'Perelman School of Medicine at the University of Pennsylvania', '2017-08-01']]
[['Oriol Yélamos', 'endWorksFor', 'Memorial Sloan Kettering Cancer Center', '2017-08-31']]
[['Zhen-Song Chen', 'endWorksFor', 'City University of Hong Kong', '2017-08-31']]
[['Michele De Maria', 'startWorksFor', 'University-Hospital Polyclinic Of Modena', '2017-08-01']]
[['Xinfeng Tao', 'endWorksFor', 'Zhejiang University', '2017-08-01']]
[['Mathieu Quesnel-Vallières', 'endWorksFor', 'University of Toronto', '2017-08-01']]
[['Vitaly Rushnitsky', 'startMemberOf', 'FC Lida', '2018-08-01']]
[['Alba Santiago', 'endWorksFor', 'Vall D\'Hebron Research Institute', '2018-08-01']]
[['Caucher Birkar', 'award', 'Fields Medal', '2018-08-01']]
[['Géry Moutier', 'award', 'Officer Of Arts And Letters', '2018-08-31']]
[['José A Rodríguez', 'endWorksFor', 'University of Navarra', '2018-08-31']]
[['Jian Zhou', 'endWorksFor', 'Massachusetts Institute of Technology', '2018-08-31']]
[['Juan Delgado Fernández', 'startWorksFor', 'National Hospital for Neurology and Neurosurgery', '2018-08-01']]
[['Arseniy Bondarenko', 'startMemberOf', 'FC Luch Minsk (2012)', '2018-08-01']]
[['Donetsk People\'s Republic', 'endLeader', 'Alexander Zakharchenko', '2018-08-31']]
[['Anna Rohde', 'endWorksFor', 'University of Jena', '2018-08-01']]
[['Edgar A Rivera-Muñoz', 'startWorksFor', 'University of Chicago', '2018-08-01']]
[['Carlos Contreras Velasquez', 'startWorksFor', 'Space Telescope Science Institute', '2018-08-15']]
[['Jenna Reed', 'endWorksFor', 'Myriad Genetics', '2018-08-01']]
[['Daniel Novac', 'startMemberOf', 'AFC Chindia Târgoviște', '2018-08-01']]
[['Serhiy Kulynych', 'startMemberOf', 'FK Spartak Subotica', '2018-08-01']]
[['Yunmei Lu', 'startWorksFor', 'University of South Florida', '2018-08-07']]
[['Alhassan Abdullah', 'endWorksFor', 'Kwame Nkrumah University of Science and Technology', '2018-08-31']]
[['Mahendra Kumar Prajapat', 'endWorksFor', 'Tampere University', '2018-08-31']]
[['Muhammad Usman', 'endWorksFor', 'King Fahd University of Petroleum and Minerals', '2018-08-31']]
[['Adam Rubin', 'endWorksFor', 'Weizmann Institute of Science', '2018-08-31']]
[['Balochistan, Pakistan', 'startLeader', 'Jam Kamal Khan', '2018-08-19']]
[['Sara Degli Esposti', 'endWorksFor', 'Coventry University', '2018-08-31']]
[['Luke Hendrie', 'startMemberOf', 'Grimsby Town F.C.', '2018-08-18']]
[['Alli Murphy', 'startMemberOf', 'PEC Zwolle (women)', '2018-08-01']]
[['Ashutosh Dhar Dwivedi', 'endWorksFor', 'Polish Academy of Sciences', '2018-08-31']]
[['Jiangxi', 'startLeader', 'Yi Lianhong', '2018-08-01']]
[['Jonas Moll', 'endWorksFor', 'Uppsala University', '2018-08-31']]
[['Sarah L Curtiss', 'endWorksFor', 'Michigan State University', '2018-08-15']]
[['Easah Suliman', 'startMemberOf', 'FC Emmen', '2018-08-17']]
[['Martin Artyukh', 'startMemberOf', 'FC Gorodeya', '2018-08-01']]
[['Cocona Sakuragi', 'startMemberOf', 'Dan⇄Jyo', '2018-08-29']]
[['Vinod Kumar', 'endWorksFor', 'All India Institute of Medical Sciences, New Delhi', '2018-08-31']]
[['Qinghai', 'startLeader', 'Liu Ning', '2018-08-07']]
[['Artem Kontsevoy (footballer, born 1999)', 'startMemberOf', 'Mezőkövesdi SE', '2019-08-01']]
[['Sebastian Banert', 'endWorksFor', 'KTH Royal Institute of Technology', '2019-08-31']]
[['Štefan Možina', 'endWorksFor', 'National Institute of Chemistry', '2019-08-31']]
[['Ashley Williams (footballer)', 'startMemberOf', 'Bristol City F.C.', '2019-08-01']]
[['Liana Hardy', 'endWorksFor', 'Royal Veterinary College', '2019-08-01']]
[['Kim Woo-seok (singer)', 'startMemberOf', 'X1 (group)', '2019-08-27']]
[['Vasyl Kysil', 'endOwns', 'Vasil Kisil And Partners', '2019-08-07']]
[['Raju Prasad Sharma', 'endWorksFor', 'University of Rovira i Virgili', '2019-08-31']]
[['Y Jane Zhang', 'endWorksFor', 'Hong Kong University of Science and Technology', '2019-08-31']]
[['Phillip D Hahn', 'endWorksFor', 'Philadelphia Department Of Public Health', '2019-08-01']]
[['New Caledonian Armed Forces', 'startLeader', 'Franck Barrera', '2019-08-01']]
[['Peter Cosgrove', 'award', 'Commander Of The Royal Victorian Order', '2019-08-12']]
[['Pritam Kumar Jana', 'endWorksFor', 'Université libre de Bruxelles', '2019-08-31']]
[['Zunkai Xu', 'endWorksFor', 'Nankai University', '2019-08-31']]
[['Hyang Cho', 'endWorksFor', 'Kaiser Permanente Santa Clara Medical Center', '2019-08-09']]
[['Sadat Ali Edroos', 'endWorksFor', 'Victoria Heart Institute Foundation', '2019-08-19']]
[['Leo Pharma', 'startLeader', 'Catherine Mazzacco', '2019-08-01']]
[['Kirill Shreitor', 'startMemberOf', 'FC Baranovichi', '2019-08-01']]
[['Mario Mancino', 'endWorksFor', 'Institut D\'Investigacions Biomèdiques August Pi I Sunyer', '2019-08-09']]
[['Barbara Rietzler', 'endWorksFor', 'University of Innsbruck', '2019-08-30']]
[['French Cooperation Office, Pyongyang', 'endLeader', 'Jean-François Fitou', '2019-08-31']]
[['Scott Disick', 'endNotableWork', 'Flip It Like Disick', '2019-08-04']]
[['Yachao Li', 'endWorksFor', 'Georgia State University', '2019-08-01']]
[['James Fouché', 'startMemberOf', 'Team Jayco–AlUla (men\'s team)', '2019-08-01']]
[['Monica Cations', 'endWorksFor', 'Flinders University', '2019-08-03']]
[['Joëlle Smits', 'startMemberOf', 'PSV (women)', '2019-08-01']]
[['Kris Jenner', 'startNotableWork', 'Flip It Like Disick', '2019-08-04']]
[['UK Health Security Agency', 'startLeader', 'Dido Harding', '2020-08-18']]
[['Başak İnce', 'endWorksFor', 'Istanbul Arel University', '2020-08-31']]
[['Vilde Tangnes', 'endWorksFor', 'Hans Majestet Kongens Garde', '2020-08-07']]
[['Arnau Casanovas-Massana', 'endWorksFor', 'Yale School of Public Health', '2020-08-17']]
[['Janka Kupala National Theatre', 'endLeader', 'Pavel Latushko', '2020-08-01']]
[['Penghui Li', 'endWorksFor', 'Fudan University', '2020-08-18']]
[['Thank God You\'Re Here', 'endActor', 'Xuân B U1Eaf C', '2020-08-16']]
[['Kathryn C Milligan-Myhre', 'endWorksFor', 'University of Alaska Anchorage', '2020-08-08']]
[['Shaanxi', 'endLeader', 'Liu Guozhong', '2020-08-02']]
[['Pedro J Resto', 'endWorksFor', 'University of Puerto Rico at Mayagüez', '2020-08-17']]
[['Anton Ivanov', 'startMemberOf', 'FC Lokomotiv Gomel', '2020-08-01']]
[['Amelia Wirts', 'startAcademicDegree', 'Doctor of Philosophy', '2020-08-01']]
[['Sayan Roy Chowdhury', 'endWorksFor', 'University of Nebraska Medical Center', '2020-08-09']]
[['Nitin Gupta', 'endWorksFor', 'Society For Research And Initiatives For Sustainable Technologies And Institutions', '2020-08-26']]
[['Kuldeep Singh', 'endWorksFor', 'Boston University', '2020-08-05']]
[['Michael Udoh', 'endWorksFor', 'Macquarie University', '2021-08-31']]
[['Caisse Des Dépôts Et Consignations', 'endLeader', 'Boutheina Ben Yaghlane', '2021-08-23']]
[['Merih Demiral', 'startMemberOf', 'Atalanta B.C.', '2021-08-07']]
[['Inner Mongolia', 'endLeader', 'Bu Xiaolin', '2021-08-05']]
[['South Kalimantan', 'startLeader', 'Sahbirin Noor', '2021-08-25']]
[['Jiangxi', 'endLeader', 'Yi Lianhong', '2021-08-01']]
[['Sauli Niinistö', 'award', 'Order Of Prince Yaroslav The Wise, 1St Class', '2021-08-23']]
[['Romelu Lukaku', 'startPlaysIn', 'Premier League', '2021-08-06']]
[['Fiona Dempsey', 'startAcademicDegree', 'Doctor of Philosophy', '2021-08-08']]
[['Hebei', 'endLeader', 'Xu Qin', '2021-08-18']]
[['Mali', 'endLeader', 'Choguel Kokalla Maïga', '2022-08-21']]
[['Generali Italia', 'endLeader', 'Marco Sesana', '2022-08-01']]
[['Lin Chih-chien', 'endAcademicDegree', 'Master\'s degree', '2022-08-01']]
[['Béavogui u002F Goumou government', 'endLeader', 'Bernard Goumou', '2022-08-20']]
[['Office for Foreign Relations and Information', 'startLeader', 'Petr Mlejnek', '2022-08-07']]
[['Office for Foreign Relations and Information', 'endLeader', 'Petr Mlejnek', '2022-08-31']]
[['Oleg Pliyev', 'startMemberOf', 'FC Energetik-BGU Minsk', '2022-08-01']]
[['Tino Kadewere', 'startMemberOf', 'RCD Mallorca', '2022-08-29']]
[['Direction De La Maintenance Aéronautique', 'endLeader', 'Monique Legrand-Larroche', '2022-08-31']]
[['Hasan Ali Khattak', 'startWorksFor', 'Iqra National University', '2015-09-01']]
[['Alberto Crescenti', 'award', 'Honorary degree', '2015-09-14']]
[['Tian-Ying Chen', 'startWorksFor', 'Beijing Forestry University', '2015-09-01']]
[['Adnan Mir', 'startWorksFor', 'University of Texas Southwestern Medical Center', '2015-09-01']]
[['Maxime Dahirel', 'startWorksFor', 'Ghent University', '2015-09-27']]
[['Tatiane Yanes', 'endWorksFor', 'Queensland Health', '2015-09-01']]
[['Eli K Moore', 'startWorksFor', 'Rutgers University', '2015-09-01']]
[['Daisuke Onohara', 'startWorksFor', 'Emory University', '2015-09-01']]
[['Whitbread', 'startLeader', 'Alison Brittain', '2015-09-01']]
[['William P Bricker', 'startWorksFor', 'Massachusetts Institute of Technology', '2015-09-01']]
[['Minami Odagi', 'endWorksFor', 'Tokyo University of Agriculture and Technology', '2015-09-30']]
[['Pooja Patel', 'startWorksFor', 'Nirma University', '2015-09-15']]
[['Heather Hanna', 'endWorksFor', 'Imperial College Faculty of Medicine', '2015-09-01']]
[['Janusz M Meylahn', 'startWorksFor', 'Leiden University', '2015-09-01']]
[['John C Tracey', 'startWorksFor', 'National Institute of Diabetes and Digestive and Kidney Diseases', '2015-09-01']]
[['Amr Kotb', 'startWorksFor', 'Prince Sultan University', '2015-09-01']]
[['Plan International', 'startLeader', 'Anne-Birgitte Albrectsen', '2015-09-01']]
[['Birken T Noesen', 'startWorksFor', 'Wright State University', '2015-09-01']]
[['Łukasz Matusiak', 'startAcademicDegree', 'Habilitation', '2015-09-23']]
[['Hiroto Hatakeyama', 'endWorksFor', 'Japan Society for the Promotion of Science', '2015-09-30']]
[['Sollentuna Municipality', 'endLeader', 'Anna-Lena Johansson', '2015-09-17']]
[['Yani Zhang', 'startWorksFor', 'Tsinghua University', '2015-09-01']]
[['Jakub Nicpoń', 'startAcademicDegree', 'Habilitation', '2015-09-22']]
[['Carlos, rey emperador', 'startActor', 'Blanca Suárez', '2015-09-21']]
[['Choongwan Koo', 'startWorksFor', 'Purdue University', '2015-09-01']]
[['Anna M Tracewska', 'startWorksFor', 'Wroclaw Research Centre Eit+', '2015-09-01']]
[['Mauro Masiol', 'startWorksFor', 'Clarkson University', '2015-09-16']]
[['S K Mohapatra', 'startWorksFor', 'National Dairy Research Institute', '2015-09-01']]
[['Lucyna Kapka-Skrzypczak', 'startAcademicDegree', 'Habilitation', '2015-09-17']]
[['Bernhard Kainz', 'endWorksFor', 'King\'s College London', '2015-09-30']]
[['Hatsuki Fujinami', 'endWorksFor', 'Nagoya University', '2015-09-30']]
[['Subramaniam Ramanathan', 'startWorksFor', 'Kidwai Memorial Institute of Oncology', '2015-09-21']]
[['Zhanhua Wei', 'startWorksFor', 'Nanyang Technological University', '2015-09-01']]
[['Azadeh Mirabedini', 'startWorksFor', 'University of Wollongong', '2015-09-20']]
[['Angelo Valli', 'endWorksFor', 'National Research Council (Italy)', '2016-09-01']]
[['Yisi Liu', 'endWorksFor', 'McMaster University', '2016-09-18']]
[['Miguel Julião', 'startWorksFor', 'University Of Minho - School Of Health Sciences', '2016-09-01']]
[['Rafael Pinilla-Redondo', 'endWorksFor', 'University of Copenhagen', '2016-09-20']]
[['Andrew Margenot', 'startWorksFor', 'University of California, Davis', '2016-09-01']]
[['Rodrigo Ruano', 'endWorksFor', 'Baylor College of Medicine', '2016-09-01']]
[['Artur Jurczyszyn', 'startAcademicDegree', 'Habilitation', '2016-09-22']]
[['Mairi S Shepherd', 'endWorksFor', 'University of Cambridge', '2016-09-01']]
[['Huei-Tzu Chien', 'startWorksFor', 'Chang Gung University', '2016-09-01']]
[['Alexandra Negut', 'startWorksFor', 'University of the West of England', '2016-09-01']]
[['Zabaykalsky Krai', 'startLeader', 'Natalia Zhdanova', '2016-09-29']]
[['Pierre Guyomarc\'H', 'startWorksFor', 'University of Bordeaux', '2016-09-01']]
