[['Osniel Melgarejo', 'endMemberOf', 'Panathinaikos V. C.', '2026-01-01'], ['Coralie Lassource', 'endMemberOf', 'Apollo College Of Veterinary Medicine U002C Jaipur', '2026-01-01'], ['Raúl González ( handballer)', 'endMemberOf', 'BM Granollers', '2026-01-04'], ['Sabina Jacobsen', 'endMemberOf', 'Ikast Håndbold', '2026-01-31']]
[['Steve Pantelidis', 'endMemberOf', 'Nanogune', '2026-11-01'], ['Maider Ormaza', 'endWorksFor', 'Aarhus Fremad', '2026-11-01'], ['Marco Cassano', 'startMemberOf', 'Nagoya Grampus', '2026-11-01'], ['Aleksandr Gorbatyuk', 'endMemberOf', 'University of Liège', '2026-11-01']]
[['Aasmund Bjørkan', 'startMemberOf', 'Ottawa Fury FC', '2026-11-01'], ['Ananthanarayanan Kasinathan', 'endWorksFor', 'North Ferriby United A. F. C.', '2026-11-02'], ['Tome Kitanovski', 'startMemberOf', 'FK Sinđelić Beograd', '2026-11-02'], ['Ákos Buzsáky', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-11-02']]
[['Enrico Malatesta', 'startMemberOf', 'FC Andorra', '2026-11-03'], ['John Gilkerson', 'endMemberOf', 'Minnesota United FC ( 2010– 2016)', '2026-11-03'], ['Vinko Marinović', 'startMemberOf', 'Oud-Heverlee Leuven', '2026-11-03'], ['Thamsanqa Gabuza', 'endMemberOf', 'Lamontville Golden Arrows F. C.', '2026-11-03']]
[['Luca Dell U0027 Acqua', 'endMemberOf', 'IK Start', '2026-11-04'], ['Aleksandr Kuzmichyov', 'startMemberOf', 'FC Andorra', '2026-11-05'], ['Edílson', 'startMemberOf', 'Ottawa Fury FC', '2026-11-05'], ['Boyan Tabakov', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-05']]
[['Peter Magnusson ( footballer)', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-11-06'], ['Aleksandr Tsarenko', 'endMemberOf', 'FC Olimpia Volgograd', '2026-11-06'], ['Mustafa Shehdeh', 'startMemberOf', 'Smouha SC', '2026-11-06'], ['Ran Ben Shimon ( footballer, born 1990)', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2026-11-06']]
[['Jamie Mackie', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-11-06'], ['Chris Zoricich', 'endWorksFor', 'Morecambe F. C.', '2026-11-06'], ['Albert Casanovas I Vázquez', 'startMemberOf', 'CP Tenerife', '2026-11-06'], ['Anis Boujelbene', 'startMemberOf', 'Mansfield Town F. C.', '2026-11-06']]
[['Michel Ngonge', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-11-07'], ['Leonidas Vokolos', 'endWorksFor', 'CS Constantine', '2026-11-07'], ['Nicolas G Bologna', 'endMemberOf', 'FC Andorra', '2026-11-07'], ['Albert Manasyan', 'startMemberOf', 'AS Nancy Lorraine', '2026-11-07']]
[['Felipe Nunes', 'endMemberOf', 'Figueirense FC', '2026-11-07'], ['Luismi ( footballer, born 1979)', 'endMemberOf', 'South Piedmont Community College', '2026-11-08'], ['Harald Unverdorben', 'endMemberOf', 'Leibniz University Hannover', '2026-11-08'], ['David A U002E Neave', 'endWorksFor', 'Kapfenberger SV', '2026-11-08']]
[['Nikita Vasilyev', 'endWorksFor', 'Hamburger SV II', '2026-11-09'], ['Abdoulaye Cissé ( footballer, born 1983)', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-09'], ['Mahmoud Samir ( footballer)', 'startMemberOf', 'Arsenal F. C.', '2026-11-09'], ['Wenbin Du', 'endMemberOf', 'FC Alashkert', '2026-11-09']]
[['Justin Braun ( soccer)', 'startMemberOf', 'Ottawa Fury FC', '2026-11-10'], ['Ernesto Cristaldo', 'startMemberOf', 'S. F. K. Pierikos ( football)', '2026-11-10'], ['Jamelle Mcmillan', 'startMemberOf', 'América de Cali', '2026-11-11'], ['Petar Rnkovic', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-11-11']]
[['Júnior Viçosa', 'startMemberOf', 'SC Zofingen', '2026-11-11'], ['Daniele Magliocchetti', 'startMemberOf', 'FC Andorra', '2026-11-11'], ['Eric Asamoah-Frimpong', 'startMemberOf', 'Llaneros F. C.', '2026-11-11'], ['Ayase Ueda', 'startMemberOf', 'Nagoya Grampus', '2026-11-11']]
[['Alain Baroja', 'endMemberOf', 'Caracas F. C.', '2026-11-11'], ['Jeremiah White', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-11'], ['Olivier Bourry', 'endMemberOf', 'Yokohama FC', '2026-11-11'], ['Édu Fernandez', 'startMemberOf', 'Club Hoquei Lloret', '2026-11-11']]
[['Gang Wang', 'endMemberOf', 'Coritiba Foot Ball Club', '2026-11-12'], ['Rafael Silva ( footballer, born 1990)', 'endMemberOf', 'CR Vasco da Gama', '2026-11-12'], ['Berthil ter Avest', 'endMemberOf', 'De Graafschap', '2026-11-12'], ['Yuri Ribeiro', 'endMemberOf', 'Portugal national under-17 football team', '2026-11-12']]
[['Valeri Safonov', 'startMemberOf', 'Neftchala FK', '2026-11-12'], ['Jiang Feng ( footballer)', 'startWorksFor', 'FC Mostovik-Primorye Ussuriysk', '2026-11-12'], ['Mohammad Sadegh Barani', 'endMemberOf', 'Zob Ahan Esfahan F. C.', '2026-11-12'], ['Danuše Táborská', 'endMemberOf', 'Nazilli Belediyespor', '2026-11-12']]
[['Elżbieta A Pieczyska', 'startMemberOf', 'Aberdeen F. C.', '2026-11-12'], ['Frédéric Pierre', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-12'], ['Sébastien Nola', 'endMemberOf', 'FK Javor Ivanjica', '2026-11-12'], ['Khristine Joy C Antigua', 'startWorksFor', 'Al Nassr FC', '2026-11-12']]
[['Aleksandar Vasilev ( footballer, born 1995)', 'endMemberOf', 'FC Kaliakra Kavarna', '2026-11-12'], ['Antonio Marín ( footballer, born 1996)', 'startMemberOf', 'Arsenal F. C.', '2026-11-12'], ['Bartosz Kopacz', 'endMemberOf', 'Bruk-Bet Termalica Nieciecza', '2026-11-12'], ['Albian Ajeti', 'endMemberOf', 'Switzerland national under-20 football team', '2026-11-12']]
[['Aleksandr Shumov', 'endMemberOf', 'FC Sibir-2 Novosibirsk', '2026-11-12'], ['Dmitri Tuchnolobov', 'startMemberOf', 'FC Lida', '2026-11-12'], ['Elzbieta Ratajczyk', 'startMemberOf', 'FC Torpedo Moscow', '2026-11-12'], ['Sead Babača', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-12']]
[['Sebastian Mai', 'endMemberOf', 'Chemnitzer FC', '2026-11-12'], ['Vladimír Coufal', 'endMemberOf', 'SFC Opava', '2026-11-12'], ['Ivan Shamarin', 'endMemberOf', 'FC Khimki', '2026-11-12'], ['Inka Wesely', 'endMemberOf', 'Germany women\' s national under-20 football team', '2026-11-13']]
[['Jamir Gomes', 'endMemberOf', 'Esporte Clube São José', '2026-11-13'], ['Oleg Ponomaryov', 'startMemberOf', 'FC Krasnodar', '2026-11-13'], ['Andre Cornelius', 'startMemberOf', 'Arka Gdynia', '2026-11-14'], ['Elizabeth Cummings', 'startMemberOf', 'C. D. Luis Ángel Firpo', '2026-11-14']]
[['Zhi-Yuan Gu', 'startMemberOf', 'Racing Club de Montevideo', '2026-11-16'], ['Maikel van der Werff', 'endMemberOf', 'SBV Vitesse', '2026-11-16'], ['Milica A Margeta', 'endMemberOf', 'Aias Salamina F. C.', '2026-11-16'], ['Luděk Stracený', 'startWorksFor', 'FC Sion', '2026-11-16']]
[['Unidos de Vila Isabel', 'endMemberOf', 'Royal Pari F. C.', '2026-11-16'], ['David Ritzema', 'startWorksFor', 'Ipswich Town F. C.', '2026-11-16'], ['Stacey Cavill', 'endMemberOf', 'Perth Glory FC', '2026-11-16'], ['Deniz Türüç', 'startMemberOf', 'Çaykur Rizespor', '2026-11-16']]
[['Way Kuo', 'endMemberOf', 'Great Wakering Rovers F. C.', '2026-11-17'], ['Sandro ( footballer, born 1986)', 'startMemberOf', 'Clube Atlético Linense', '2026-11-17'], ['David Sierra ( footballer)', 'startMemberOf', 'FC Andorra', '2026-11-17'], ['Joost Ebergen', 'startMemberOf', 'FC Vestsjælland', '2026-11-17']]
[['Farhad Kheirkhah', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2026-11-17'], ['Ivan Bernal-Villamil', 'startMemberOf', 'Giresunspor', '2026-11-18'], ['Vyacheslav Rafikov', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-18'], ['Zafer Biryol', 'startMemberOf', 'AS Vita Club', '2026-11-19']]
[['Mickaël Facchinetti', 'startMemberOf', 'Olbia Calcio 1905', '2026-11-19'], ['Wang Dong ( footballer, born 1981)', 'startMemberOf', 'Dalian Shide F. C.', '2026-11-19'], ['Kazuhiko Shingyoji', 'startMemberOf', 'Fagiano Okayama', '2026-11-19'], ['Peter Fear', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-11-19']]
[['Ergün Penbe', 'endMemberOf', 'Gaziantepspor', '2026-11-19'], ['Irakli Chargaziya', 'startMemberOf', 'FC MITOS Novocherkassk', '2026-11-19'], ['Michelle Chan Leach', 'endWorksFor', 'Vegalta Sendai', '2026-11-19'], ['Matúš Kozáčik', 'startMemberOf', 'FK Arsenal Tivat', '2026-11-19']]
[['Geovannis Ayala', 'startMemberOf', 'LA Laguna FC', '2026-11-19'], ['Ruslan Pimenov', 'startMemberOf', 'FC Andorra', '2026-11-19'], ['Talal Assiri', 'endMemberOf', 'Al Nassr FC', '2026-11-19'], ['Marino Defendi', 'startMemberOf', 'FC Andorra', '2026-11-19']]
[['Lorenzo Tognaccini', 'startWorksFor', 'Esporte Clube Ipitanga da Bahia', '2026-11-20'], ['Gary Rogers', 'endMemberOf', 'Pro 2016', '2026-11-20'], ['Daniel Cotton', 'endMemberOf', 'FC Neftekhimik Nizhnekamsk', '2026-11-20'], ['Antonia Thodis', 'startWorksFor', 'Bolton Wanderers F. C.', '2026-11-20']]
[['Matija Širok', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-20'], ['José García ( footballer, born 1997)', 'endMemberOf', 'Extremadura UD', '2026-11-20'], ['Saifallah Mahjoubi', 'endMemberOf', 'Central Sport Club', '2026-11-20'], ['Richard Petty', 'endMemberOf', 'Tampines Rovers FC', '2026-11-20']]
[['Shane Robinson ( footballer)', 'endMemberOf', 'A. S. D. Barletta 1922', '2026-11-21'], ['Amalia Yunita Halim', 'endMemberOf', 'FC Khimki', '2026-11-21'], ['Mike Smith', 'endMemberOf', 'Apollon Smyrnis F. C.', '2026-11-21'], ['Jesús Armando Sánchez', 'startMemberOf', 'Club Atlético Atlanta', '2026-11-22']]
[['Narciso Fernández', 'startMemberOf', 'Ottawa Fury FC', '2026-11-23'], ['Carl-Oscar Andersson', 'endMemberOf', 'New York Cosmos ( 2010)', '2026-11-23'], ['Steve Tutill', 'startMemberOf', 'Mossley A. F. C.', '2026-11-23'], ['Kevin Scheidhauer', 'endWorksFor', 'Bury F. C.', '2026-11-23']]
[['Bülent Uygun', 'endWorksFor', 'University of St Andrews', '2026-11-23'], ['Kenyatta Rowel', 'endWorksFor', 'Puszcza Niepołomice', '2026-11-23'], ['Mert Çakar', 'endMemberOf', 'Turanspor', '2026-11-23'], ['Aleksandar Nedović', 'startMemberOf', 'FC Andorra', '2026-11-23']]
[['Israel Silva', 'endMemberOf', 'C. S. D. Municipal', '2026-11-23'], ['Mohamed Messoudi', 'startMemberOf', 'FC Andorra', '2026-11-23'], ['Jesper Mathisen', 'startMemberOf', 'Ottawa Fury FC', '2026-11-23'], ['Michele Cavion', 'startMemberOf', 'A. S. Pro Piacenza 1919', '2026-11-23']]
[['Eduard Núñez', 'endMemberOf', 'CE Vilassar de Dalt', '2026-11-23'], ['Fenedy Masauvakalo', 'endMemberOf', 'Tupuji Imere F. C.', '2026-11-23'], ['Leonardo ( footballer, born 1976)', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-23'], ['Dane Trbović', 'endMemberOf', 'Puszcza Niepołomice', '2026-11-23']]
[['Roxane Fournier', 'endMemberOf', 'FC Stal Alchevsk', '2026-11-23'], ['Alexandre Rey', 'startMemberOf', 'SD Worx', '2026-11-23'], ['Jaime Molina', 'startMemberOf', 'UD Vecindario', '2026-11-23'], ['Bálint Gaál', 'endMemberOf', 'Soproni VSE', '2026-11-23']]
[['Cristiano Dias', 'endMemberOf', 'Minnesota United FC ( 2010– 2016)', '2026-11-23'], ['Slaviša Jeremić', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-23'], ['Gavin Cullen', 'startMemberOf', 'Glentoran F. C.', '2026-11-23'], ['Nik Mrdja', 'endMemberOf', 'Australia men\' s national soccer team generic instance', '2026-11-23']]
[['Peter Thomas', 'startMemberOf', 'Clube 15 de Novembro', '2026-11-24'], ['Alyaksey Plyasunow', 'startMemberOf', 'Puszcza Niepołomice', '2026-11-25'], ['Wutthipong Kerdkul', 'startMemberOf', 'TOT S. C.', '2026-11-25'], ['Rohan Ince', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-11-26']]
[['Marina Silva', 'endMemberOf', 'Denizlispor', '2026-11-26'], ['Keith Belfield', 'startWorksFor', 'Sevilla FC', '2026-11-26'], ['Milan Stepanov', 'endMemberOf', 'Juventus F. C.', '2026-11-26'], ['Sean Francis ( footballer)', 'startMemberOf', 'Bohemian F. C.', '2026-11-26']]
[['Mesut Kumcuoğlu', 'endMemberOf', 'Ünyespor', '2026-11-26'], ['Leah Williamson', 'startMemberOf', 'Bristol City W. F. C.', '2026-11-27'], ['Nazmiye Demirel', 'startMemberOf', 'Gimnasia y Esgrima de Jujuy', '2026-11-27'], ['Vladimir Lazarev', 'startMemberOf', 'FC Andorra', '2026-11-27']]
[['Alopua Petoa', 'endMemberOf', 'Waitakere City FC', '2026-11-27'], ['Jacqueline De Backer', 'startMemberOf', 'Bayer 04 Leverkusen ( women)', '2026-11-27'], ['Teigen Allen', 'endMemberOf', 'Western New York Flash', '2026-11-27'], ['Roberto Pagaria', 'endMemberOf', 'Asteras Magoula F. C.', '2026-11-28']]
[['William Gros', 'startMemberOf', 'Ottawa Fury FC', '2026-11-28'], ['Václav Marek ( footballer)', 'endMemberOf', 'FC Dragoun Břevnov', '2026-11-28'], ['Kerlon', 'startMemberOf', 'FC Andorra', '2026-11-28'], ['Jianglai Liu', 'endMemberOf', 'Genêts Anglet', '2026-11-28']]
[['Christophe Bertjens', 'endMemberOf', 'A. S. Verbroedering Geel', '2026-11-28'], ['Fung Kai Hong', 'startMemberOf', 'TOT S. C.', '2026-11-30'], ['Toke Bang-Andreasen', 'startMemberOf', 'Olympiacos F. C.', '2026-11-30'], ['Pedro Torrão', 'startMemberOf', 'FC Andorra', '2026-11-30']]
[['Sam Kearns', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-30'], ['Bassirou Konté', 'startMemberOf', 'Trat F. C.', '2026-11-30'], ['Elano', 'startMemberOf', 'Fehérvár FC', '2026-11-30'], ['Serhat Köksal', 'startMemberOf', 'ND Mura 05', '2026-11-30']]
[['Sam Wedgbury', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-11-30'], ['Ben Clark', 'startMemberOf', 'Toronto FC', '2026-12-01'], ['Lasse Lehmann', 'startMemberOf', 'VfR Aalen', '2026-12-01'], ['Keysher Fuller', 'endMemberOf', 'Municipal Grecia', '2026-12-01']]
[['Irineu ( footballer)', 'startMemberOf', 'FC Andorra', '2026-12-01'], ['Luciano Balbi', 'endMemberOf', 'L. D. U. Quito', '2026-12-01'], ['Vince Grella', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-12-01'], ['Knut Borch', 'startMemberOf', 'Ottawa Fury FC', '2026-12-01']]
[['Zhang Shichang', 'endMemberOf', 'Shenzhen F. C.', '2026-12-01'], ['John Williams ( footballer, born 1968)', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-12-01'], ['Alexandru Suharev', 'endMemberOf', 'FC Chita', '2026-12-01'], ['Ross Davidson ( footballer, born 1973)', 'endWorksFor', 'Liverpool F. C.', '2026-12-01']]
[['Freddy León', 'endMemberOf', 'Patriotas Boyacá', '2026-12-01'], ['Oebele Schokker', 'startMemberOf', 'Sarpsborg 08 FF', '2026-12-01'], ['Adnan Zahirović', 'startMemberOf', 'Asteras Magoula F. C.', '2026-12-01'], ['Borger Thomas', 'startMemberOf', 'Norway National Under-18 Association Football Team generic instance', '2026-12-01']]
[['Mathieu Debuchy', 'startMemberOf', 'FC Andorra', '2026-12-01'], ['Vladimir Plotnikov ( footballer)', 'endMemberOf', 'FC Atyrau', '2026-12-01'], ['Martin Khorin', 'startMemberOf', 'Trat F. C.', '2026-12-01'], ['Džemal Berberović', 'startMemberOf', 'Ottawa Fury FC', '2026-12-01']]
[['Mohannad Mahdi Al-Nadawi', 'endWorksFor', 'Ethnikos Asteras F. C.', '2026-12-01'], ['Yves Brinkmann', 'startMemberOf', 'FSV Wacker 90 Nordhausen', '2026-12-01'], ['Joshua Ellis', 'endMemberOf', 'Mossley A. F. C.', '2026-12-01'], ['Jan Polák ( footballer, born 1989)', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-12-01']]
[['Irfan Hadžić', 'startMemberOf', 'FC Andorra', '2026-12-01'], ['Daniel Bogdanović', 'endMemberOf', 'Trat F. C.', '2026-12-01'], ['Grandhi Venkata Ramalingayya', 'startMemberOf', 'Niki Volos F. C.', '2026-12-01'], ['Dilara Atasoy', 'endMemberOf', 'PFC Naftex Burgas', '2026-12-01']]
[['Samuel Lopes', 'startMemberOf', 'FK Sinđelić Beograd', '2026-12-01'], ['Abdullah Omar', 'startMemberOf', 'Olbia Calcio 1905', '2026-12-01'], ['Shane Hobbs', 'startMemberOf', 'Lincoln United F. C.', '2026-12-01'], ['Alberto Martín Gómez', 'startMemberOf', 'Racing de Córdoba', '2026-12-01']]
[['Toralf Konetzke', 'endMemberOf', 'Saint Lucia national football team', '2026-12-01'], ['Michael J. Fox', 'endMemberOf', 'FC Smorgon', '2026-12-01'], ['Arjan van Heusden', 'endWorksFor', 'FV Dresden 06', '2026-12-01'], ['Ronny Kujat', 'startMemberOf', 'Nazilli Belediyespor', '2026-12-01']]
[['Gianluca Catania', 'endMemberOf', 'Dundee United F. C.', '2026-12-01'], ['Juan Pablo Vargas', 'startMemberOf', 'New York City FC', '2026-12-01'], ['Theresa Harbig', 'startWorksFor', 'Jong Ajax', '2026-12-01'], ['Lee Hyun-ho', 'startMemberOf', 'South Korea national football team generic instance', '2026-12-01']]
[['Frédéric Maciel', 'startMemberOf', 'Dalian Shide F. C.', '2026-12-01'], ['Halil İbrahim Sönmez', 'startMemberOf', 'Turkey national under-20 football team generic instance', '2026-12-01'], ['Vladimir Valeryevich Barmin', 'endMemberOf', 'FC Syzran-2003', '2026-12-01'], ['Imaye Taga', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2026-12-01']]
[['Ruslan Sydykov', 'endMemberOf', 'FC Dordoi Bishkek', '2026-12-01'], ['Marinus Dijkhuizen', 'startMemberOf', 'Asteras Magoula F. C.', '2026-12-01'], ['Faisel Majrashi', 'startMemberOf', 'Al-Jabalain FC', '2026-12-01'], ['Ian Cox', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-12-01']]
[['Daniil Chalov', 'endMemberOf', 'Olbia Calcio 1905', '2026-12-01'], ['Jermaine Graham', 'startMemberOf', 'Halesowen Town F. C.', '2026-12-01'], ['João Coimbra', 'startWorksFor', 'Misr Lel Makkasa SC', '2026-12-01'], ['Anton Beglov', 'endMemberOf', 'FC Olimpia Volgograd', '2026-12-01']]
[['Kaori Wakabayashi', 'startMemberOf', 'Deportivo Cali', '2026-12-03'], ['Gennady Malyshko', 'startWorksFor', 'Hakoah Amidar Ramat Gan F. C.', '2026-12-03'], ['Julien Perrin', 'endMemberOf', 'AS Cannes', '2026-12-03'], ['Guy Tchingoma', 'startMemberOf', 'CA Bizertin', '2026-12-03']]
[['Lamara Douicher', 'startMemberOf', 'Al Ahli SC ( Doha)', '2026-12-03'], ['Daler Tukhtasunov', 'startMemberOf', 'Trat F. C.', '2026-12-05'], ['Yasutaka Kobayashi', 'startMemberOf', 'Trat F. C.', '2026-12-05'], ['Andrei Karyaka', 'endMemberOf', 'FC Saturn Ramenskoye', '2026-12-06']]
[['Adrian Billhardt', 'endMemberOf', 'University of California, San Francisco', '2026-12-07'], ['Pamela Jones', 'endWorksFor', 'Safa SC', '2026-12-07'], ['Alhassan Wakaso', 'startMemberOf', 'Maccabi Yavne F. C.', '2026-12-08'], ['Jota ( Spanish footballer)', 'startMemberOf', 'Panthrakikos F. C.', '2026-12-08']]
[['Philipp Heithölter', 'endMemberOf', 'Rot Weiss Ahlen', '2026-12-08'], ['Nassim Bouchema', 'startMemberOf', 'CA Bordj Bou Arréridj', '2026-12-08'], ['Yassine Naoum', 'startWorksFor', 'FK Vardar', '2026-12-09'], ['Zaur Hashimov', 'startMemberOf', 'Neftchala FK', '2026-12-09']]
[['Famous Oberogo', 'startMemberOf', 'FC Khimki', '2026-12-10'], ['Sergio Ávila', 'startMemberOf', 'Club Atlético Atlanta', '2026-12-10'], ['Gustavo Gotti', 'endMemberOf', 'Instituto Atlético Central Córdoba', '2026-12-12'], ['Kevin Dicklhuber', 'endWorksFor', 'Paraná Clube', '2026-12-13']]
[['Thiago Tremonti', 'endMemberOf', 'Grêmio Barueri Futebol', '2026-12-13'], ['Leonidas Kampantais', 'startMemberOf', 'Asteras Magoula F. C.', '2026-12-15'], ['Aleš Jindra', 'startMemberOf', 'Ottawa Fury FC', '2026-12-15'], ['Aleksander Ptak', 'startMemberOf', 'Simba S. C.', '2026-12-15']]
[['John Deakin ( footballer)', 'startMemberOf', 'Halesowen Town F. C.', '2026-12-17'], ['Mathias Svensson', 'startMemberOf', 'Asteras Magoula F. C.', '2026-12-17'], ['Mihai Aioani', 'startMemberOf', 'FC Metaloglobus București', '2026-12-18'], ['Jaikel Medina', 'endMemberOf', 'Deportivo Saprissa', '2026-12-20']]
[['Francis Filbet', 'endWorksFor', 'MC Alger', '2026-12-20'], ['Dani Hatakka', 'startMemberOf', 'Arsenal F. C.', '2026-12-20'], ['Sergio Ramos', 'endMemberOf', 'Spain national under-19 football team generic instance', '2026-12-20'], ['Mateusz Prus', 'startWorksFor', 'Czech Republic national under-21 football team', '2026-12-20']]
[['Georgi Iliev ( footballer, born 1981)', 'startMemberOf', 'FC Andorra', '2026-12-20'], ['Gabriel Torres', 'startMemberOf', 'Asteras Magoula F. C.', '2026-12-20'], ['Joost Volmer', 'startMemberOf', 'Lincoln United F. C.', '2026-12-20'], ['Joel Robles', 'endMemberOf', 'Cambridge United F. C.', '2026-12-20']]
[['Leandro Carrijó', 'startMemberOf', 'Dalian Shide F. C.', '2026-12-20'], ['Niels Hansen ( German footballer)', 'startMemberOf', 'Ottawa Fury FC', '2026-12-20'], ['Bob Peeters', 'startMemberOf', 'Fehérvár FC', '2026-12-20'], ['Janik Haberer', 'startMemberOf', 'Asteras Magoula F. C.', '2026-12-20']]
[['Sarach Yooyen', 'endMemberOf', 'Phuket Andaman F. C.', '2026-12-22'], ['Carina Enoch', 'endMemberOf', 'Sv Jungingen', '2026-12-23'], ['Yuji Funayama ( footballer)', 'startMemberOf', 'Júbilo Iwata', '2026-12-23'], ['Muhammad Albicho', 'startMemberOf', 'Persepam Madura Utama', '2026-12-24']]
[['Franck Jurietti', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-12-28'], ['Thiago Maciel', 'startMemberOf', 'FC Andorra', '2026-12-29'], ['Benito Carbone', 'startWorksFor', 'Thurrock F. C.', '2026-12-29'], ['Bruno Piano', 'endMemberOf', 'FC Andorra', '2026-12-29']]
[['Burgui', 'startMemberOf', 'FC Andorra', '2026-12-29'], ['Gökhan Çakır', 'startMemberOf', 'Nazilli Belediyespor', '2026-12-29'], ['Ryan McMahen', 'endMemberOf', 'Sporting Kansas City', '2026-12-29'], ['Josué Balamandji', 'startMemberOf', 'Asteras Magoula F. C.', '2026-12-29']]
[['Javier Mazzoni', 'startMemberOf', 'FC Andorra', '2026-12-29'], ['Ivan Michniuk', 'startMemberOf', 'FC Slavia Mozyr', '2026-12-29'], ['Joana Flaviano', 'endMemberOf', 'A. S. D. FC Sassari Torres Femminile', '2026-12-29'], ['Jason Denayer', 'startMemberOf', 'K. V. C. Westerlo', '2026-12-29']]
[['Raúl Cabanas', 'startMemberOf', 'Panionios F. C.', '2026-12-29'], ['Renee Rollason', 'startMemberOf', 'Sejong Sportstoto WFC', '2026-12-29'], ['Wender ( footballer)', 'startMemberOf', 'FC Andorra', '2026-12-29'], ['Martín García ( footballer, born 1981)', 'startMemberOf', 'Ottawa Fury FC', '2026-12-29']]
[['Luke Steele ( footballer)', 'startMemberOf', 'Asteras Magoula F. C.', '2026-12-29'], ['Danny King-Bisungu', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-12-29'], ['Nariman Gusalov', 'startMemberOf', 'FC Andorra', '2026-12-29'], ['Gastón Caprari', 'endMemberOf', 'Boca Unidos', '2026-12-29']]
