[['Clint Hill ( Secret Service)', 'endMemberOf', 'Arkansas– Pine Bluff Golden Lions men\' s basketball', '2026-01-01']]
[['Giancarlo Lopez-Martinez', 'endWorksFor', 'University of Florida', '2026-09-01']]
[['Seabern Hill', 'endMemberOf', 'Arizona State Sun Devils men\' s basketball', '2026-09-01']]
[['Tapan Rai', 'endWorksFor', 'Edith Cowan University', '2026-09-01']]
[['Rob J Van U0027 T Hof', 'endWorksFor', 'University of Edinburgh', '2026-09-01']]
[['Dave Montfort', 'endMemberOf', 'Southern Illinois Salukis men\' s basketball', '2026-09-01']]
[['Chang Cheng', 'startMemberOf', 'Queen\' s University Belfast', '2026-09-01']]
[['Yves Lafarge', 'startMemberOf', 'R. W. D. M. Brussels F. C.', '2026-09-01']]
[['David Garland ( English footballer)', 'endMemberOf', 'Grimsby Town F. C.', '2026-09-01']]
[['Tom Brophy ( rugby)', 'endMemberOf', 'England national rugby union team', '2026-09-01']]
[['Dan Pagliotti', 'endMemberOf', 'Fresno State Bulldogs men\' s basketball', '2026-09-01']]
[['Kaoru Yachigusa', 'startMemberOf', 'Austria national under-21 football team', '2026-09-01']]
[['Amar Singh Jessel', 'endWorksFor', 'Surrey and Sussex Healthcare NHS Trust', '2026-09-01']]
[['Daisuke Inoue', 'startMemberOf', 'Team Milram', '2026-09-01']]
[['Matthew Barbour', 'endWorksFor', 'University of Wisconsin– La Crosse', '2026-09-01']]
[['Hua Sun', 'endWorksFor', 'Iowa State University', '2026-09-01']]
[['Octavian Morariu', 'endMemberOf', 'Asptt Paris', '2026-09-01']]
[['Darren Peacock', 'endMemberOf', 'Alabama Crimson Tide men\' s basketball', '2026-09-01']]
[['Don Marshall', 'endMemberOf', 'LSU Tigers men\' s basketball', '2026-09-01']]
[['Toshihiro Nakaoka', 'startMemberOf', 'Newcastle United F. C.', '2026-09-01']]
[['Peter Lupčo', 'startMemberOf', 'Oxford United F. C.', '2026-09-01']]
[['Rafa Talaverón', 'endMemberOf', 'Northeastern Huskies men\' s basketball', '2026-09-01']]
[['Sigurður Þórarinsson', 'endMemberOf', 'Kentucky Wildcats men\' s basketball', '2026-09-01']]
[['University of Rovira i Virgili', 'endMemberOf', 'National Digital Stewardship Alliance', '2026-09-01']]
[['Romain Pitau', 'startMemberOf', 'MP Muar F. C.', '2026-09-01']]
[['Mark Ellis ( baseball)', 'endMemberOf', 'Colorado Rockies', '2026-09-01']]
[['Justin Champagnie', 'endMemberOf', 'Pittsburgh Panthers men\' s basketball', '2026-09-01']]
[['Jack Iverson', 'endMemberOf', 'University of Pennsylvania', '2026-09-01']]
[['Alexander Röll', 'endWorksFor', 'Bergama Belediyespor', '2026-09-01']]
[['Ahmed Al-Swaileh', 'endMemberOf', 'FC Red Bull Salzburg', '2026-09-01']]
[['Paul Baltes', 'startMemberOf', 'ASA Târgu Mureș ( 1962)', '2026-09-01']]
[['Eric O\' Dell', 'endWorksFor', 'German Research Foundation', '2026-09-01']]
[['Rashad Karimov', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-01']]
[['Allen Eller', 'endMemberOf', 'Ohio Vortex', '2026-09-02']]
[['Esin Candemir', 'startMemberOf', 'Torquay United F. C.', '2026-09-02']]
[['Adam Skarke', 'endMemberOf', 'Idaho Vandals men\' s basketball', '2026-09-02']]
[['Gayatri Kavishwar', 'startMemberOf', 'Manisaspor', '2026-09-02']]
[['Franck Queudrue', 'endWorksFor', 'German Research Foundation', '2026-09-02']]
[['Bart Van Gansbeke', 'endWorksFor', 'University of Adelaide', '2026-09-02']]
[['Karen Gale', 'startMemberOf', 'Tampa Bay Terror', '2026-09-02']]
[['Lucas Gabriel', 'endMemberOf', 'Northern Arizona Lumberjacks men\' s basketball', '2026-09-02']]
[['Matej Mugerli', 'endMemberOf', 'Synergy Baku Cycling Project', '2026-09-02']]
[['Rich Hurley', 'startMemberOf', 'Łódź University of Technology', '2026-09-02']]
[['Jemal Abdu', 'endMemberOf', 'Adelaide Comets FC', '2026-09-02']]
[['Greg Thompson ( cricketer)', 'endMemberOf', 'Lancashire County Cricket Club', '2026-09-02']]
[['Johannes Bothma', 'endMemberOf', 'Boland ( cricket team)', '2026-09-02']]
[['Salvatore Perrone', 'startMemberOf', 'Fort Wayne Flames', '2026-09-02']]
[['Allan H U002E Morrish', 'startMemberOf', 'Rksv Fcv Venlo', '2026-09-02']]
[['Hao Zheng', 'startMemberOf', 'Hungarian Socialist Workers\' Party', '2026-09-03']]
[['Eric C U002E Hellgren', 'endWorksFor', 'Southern Illinois University Carbondale', '2026-09-03']]
[['Chad Mcclendon', 'startMemberOf', 'Alice Cooper ( band)', '2026-09-03']]
[['Yongming Wang', 'endWorksFor', 'Stanford University', '2026-09-03']]
[['João Calmeiro', 'endWorksFor', 'NOVA University Lisbon', '2026-09-03']]
[['Lars Nymo Trulsen', 'endMemberOf', 'IF Skarp', '2026-09-03']]
[['Evdokija Ivanovna Holostova', 'startAcademicDegree', 'Doktor Nauk In Philosophy generic instance', '2026-09-03']]
[['Eunju Jeong', 'endWorksFor', 'Ewha Womans University', '2026-09-03']]
[['Andrew Griffith', 'endWorksFor', 'Ivanhoe Grammar School', '2026-09-03']]
[['Jerzy Dryzek', 'startAcademicDegree', 'Master of Advanced Studies generic instance', '2026-09-03']]
[['Dan I Cohen-Addad', 'endWorksFor', 'Mount Sinai Beth Israel', '2026-09-03']]
[['Gemma Kay', 'endWorksFor', 'University of East Anglia', '2026-09-03']]
[['Dale Koehler', 'endMemberOf', 'Wisconsin Badgers men\' s basketball', '2026-09-03']]
[['Helmut Schön', 'endMemberOf', 'Hertha BSC', '2026-09-05']]
[['Tony William', 'endMemberOf', 'Florida State Seminoles men\' s basketball', '2026-09-05']]
[['Sigrid Mccausland', 'endWorksFor', 'Charles Sturt University', '2026-09-05']]
[['Noriko Yamashita', 'endSpouse', 'James Miki', '2026-09-05']]
[['Javier Pértile', 'endMemberOf', 'Rugby Roma Olimpic', '2026-09-05']]
[['Palanivel Chinnakali', 'endWorksFor', 'All India Institute of Medical Sciences, Kalyani', '2026-09-05']]
[['Lina Bergman', 'endWorksFor', 'Dalarna County Council', '2026-09-05']]
[['Elisa Zanini', 'endWorksFor', 'Imperial College London', '2026-09-05']]
[['Vince Boyle', 'endMemberOf', 'San Francisco Dons men\' s basketball', '2026-09-06']]
[['David Bass', 'endMemberOf', 'Old Dominion Monarchs men\' s basketball', '2026-09-06']]
[['Sylvia Saurel', 'startMemberOf', 'Negeri Sembilan FC', '2026-09-06']]
[['Tom Rouen', 'endMemberOf', 'Seattle Seahawks', '2026-09-06']]
[['Arrondissement Of Bordj-Menaiel', 'startMemberOf', 'FC Rubin Kazan', '2026-09-06']]
[['Sylvain Calzati', 'endMemberOf', 'Wan Fang Hospital', '2026-09-06']]
[['Sebastien Vorbe', 'endMemberOf', 'LA Galaxy', '2026-09-07']]
[['Mamadi Kaba', 'endMemberOf', 'FC Gueugnon', '2026-09-07']]
[['Nathalie Sibille', 'endWorksFor', 'Unité De Glycobiologie Structurale Et Fonctionnelle', '2026-09-07']]
[[' Gleichenhaus', 'endMemberOf', 'Army Black Knights men\' s basketball', '2026-09-07']]
[['Víctor García ( cyclist)', 'endMemberOf', 'Depredadores Prado Credit', '2026-09-08']]
[['Mike Sorber', 'endMemberOf', 'Lawrence Berkeley National Laboratory', '2026-09-08']]
[['Vladimir Markotić', 'startMemberOf', 'West Bromwich Albion F. C.', '2026-09-08']]
[['Bob Jack', 'startMemberOf', 'New York Red Bulls', '2026-09-08']]
[['Zachary Pangelinan', 'endMemberOf', 'Guam national football team', '2026-09-08']]
[['Anatoli Porkhunov', 'endMemberOf', 'PFC CSKA Moscow', '2026-09-08']]
[['Tyler M Hoard', 'startMemberOf', 'Cornell University', '2026-09-08']]
[['Alex Hay ( footballer)', 'endMemberOf', 'Cammell Laird 1907 F. C.', '2026-09-08']]
[['Michel Morandais', 'startMemberOf', 'Limoges FC', '2026-09-08']]
[['László Nagy ( footballer)', 'endMemberOf', 'FC Luzern', '2026-09-08']]
[['Aleksandr Dedurin', 'endMemberOf', 'FC Smena Komsomolsk-na-Amure', '2026-09-08']]
[['Sarah Zubairy', 'startMemberOf', 'German Research Foundation', '2026-09-09']]
[['Maeve Quinlan', 'endWorksFor', 'German Research Foundation', '2026-09-09']]
[['Mike Brannen', 'endMemberOf', 'Dayton Flyers men\' s basketball', '2026-09-09']]
[['José Fernando Cuadrado', 'endMemberOf', 'Deportivo Cali', '2026-09-09']]
[['Tom Villemure', 'endMemberOf', 'Detroit Mercy Titans men\' s basketball', '2026-09-09']]
[['Khalid Ismail', 'endMemberOf', 'United Arab Emirates national football team', '2026-09-09']]
[['Valentin Coca', 'endMemberOf', 'CS Mioveni', '2026-09-09']]
[['Jim Hanson', 'endMemberOf', 'Yale Bulldogs men\' s basketball', '2026-09-09']]
[['Peter Gamboa', 'endMemberOf', 'UTSA Roadrunners men\' s basketball', '2026-09-09']]
[['Badar Al-Mahruqy', 'endMemberOf', 'Muscat Club', '2026-09-09']]
[['Mark Domenick', 'endMemberOf', 'Green Bay Phoenix men\' s basketball', '2026-09-09']]
[['Sebastien Ars', 'endWorksFor', 'University of Toronto', '2026-09-09']]
[['Shlomi Edri', 'startMemberOf', 'George Mason Patriots men\' s basketball', '2026-09-09']]
[['Marta Mamani', 'endWorksFor', 'Hospital Rivadavia', '2026-09-09']]
[['Mohamed Zekri', 'endMemberOf', 'Tersana SC', '2026-09-10']]
[['Daniel Castro Silva', 'endWorksFor', 'University of Coimbra', '2026-09-10']]
[['Jonathan Silcock', 'endWorksFor', 'University of Leeds', '2026-09-10']]
[['Christian Gytkjær', 'endMemberOf', 'Lyngby Boldklub', '2026-09-10']]
[['Willy Guéret', 'endPlaysIn', 'Premier League', '2026-09-10']]
[['He Hu', 'endMemberOf', 'German Research Foundation', '2026-09-10']]
[['Fabão ( footballer, born 1981)', 'startMemberOf', 'S. C. Braga', '2026-09-10']]
[['Ray Sims', 'endMemberOf', 'Indiana State Sycamores men\' s basketball', '2026-09-10']]
[['Fay Wray', 'endWorksFor', 'German Research Foundation', '2026-09-10']]
[['Tyrell Johnson', 'endMemberOf', 'Appalachian State Mountaineers men\' s basketball', '2026-09-10']]
[['Cecilie F Kjelgaard-Petersen', 'endWorksFor', 'Technical University of Denmark', '2026-09-10']]
[['Francesco Cristofoli', 'endMemberOf', 'Central Español', '2026-09-10']]
[['Rohit Sharma', 'startMemberOf', 'Princeton Tigers men\' s basketball', '2026-09-10']]
[['Joey Lynch-Flohr', 'endMemberOf', 'Radford Highlanders men\' s basketball', '2026-09-10']]
[['Hanneke Den Ouden', 'startMemberOf', 'German Research Foundation', '2026-09-10']]
[['John M Grady', 'endWorksFor', 'Michigan State University', '2026-09-10']]
[['Darío Silva Silva', 'startMemberOf', 'Trabzonspor', '2026-09-10']]
[['Ricardo I Alcalá-Briseño', 'endWorksFor', 'University of Florida', '2026-09-10']]
[['Duy Thanh Truong', 'endWorksFor', 'University of Kassel', '2026-09-11']]
[['Gao Jianbin', 'endMemberOf', 'China national football team generic instance', '2026-09-11']]
[['Darold Crow', 'endMemberOf', 'Tulsa Golden Hurricane men\' s basketball', '2026-09-11']]
[['Edin Ćurić', 'endPlaysIn', 'Regionalliga West', '2026-09-12']]
[['Steve Tilson', 'endMemberOf', 'Brentford F. C.', '2026-09-12']]
[['Simone Stortoni', 'endMemberOf', 'GW Shimano– Sidermec', '2026-09-12']]
[['Filip Daems', 'endMemberOf', 'Gençlerbirliği S. K.', '2026-09-13']]
[['Rafaela Ganga', 'endWorksFor', 'University of Coimbra', '2026-09-14']]
[['Endre Csáki', 'startMemberOf', 'A. O. Glyfada', '2026-09-14']]
[['Joe Dunn ( footballer)', 'endMemberOf', 'Morecambe F. C.', '2026-09-14']]
[['Willian Magrão', 'endMemberOf', 'Boa Esporte Clube', '2026-09-15']]
[['Greg Cook', 'endMemberOf', 'LSU Tigers men\' s basketball', '2026-09-16']]
[['Fons Bastijns', 'endMemberOf', 'USL Dunkerque', '2026-09-16']]
[['Carlton Smith', 'endMemberOf', 'Navy Midshipmen men\' s basketball', '2026-09-17']]
[['Omar Sebastián Pérez', 'endMemberOf', 'Independiente Medellín', '2026-09-17']]
[['Maurice Adams', 'endMemberOf', 'Eastern Michigan Eagles men\' s basketball', '2026-09-17']]
[['Josh Rosario', 'endMemberOf', 'UMBC Retrievers men\' s basketball', '2026-09-17']]
[['Andrew C U002E Mitchell', 'startMemberOf', 'Hawaii Rainbow Warriors basketball', '2026-09-17']]
[['Wojciech Grzyb ( footballer)', 'endMemberOf', 'Odra Wodzisław Śląski', '2026-09-17']]
[['Rodrigo A U002E López', 'endWorksFor', 'University of Maryland, College Park', '2026-09-17']]
[['Jan Lecker', 'endWorksFor', 'Droylsden F. C.', '2026-09-17']]
[['Rabha Waell Ibrahim', 'endWorksFor', 'Tôn Đứ c Th u1EAF ng University', '2026-09-17']]
[['Bambang Nurdiansyah', 'endMemberOf', 'Bali United F. C.', '2026-09-17']]
[['Garvock', 'startMemberOf', 'Spezia Calcio', '2026-09-17']]
[['Sylvain Guyot', 'endMemberOf', 'Sapporo City General Hospital', '2026-09-18']]
[['Robby Dosier', 'endWorksFor', 'FC Znamya Truda Orekhovo-Zuyevo', '2026-09-18']]
[['Thomas Furmanak', 'endWorksFor', 'Delaware County Community College', '2026-09-18']]
[['Dimitrios Karatziovalis', 'endMemberOf', 'Los Alamos National Laboratory', '2026-09-18']]
[['Riley Barker', 'endWorksFor', 'Weill Cornell Medicine', '2026-09-18']]
[['Michael Börsch', 'startMemberOf', 'Port Vale F. C.', '2026-09-18']]
[['Pere García Recasens', 'endMemberOf', 'Socialists\' Party of Catalonia', '2026-09-18']]
[['Chadwick Walton', 'endMemberOf', 'Guyana Amazon Warriors', '2026-09-18']]
[['Rudy Bogad', 'endMemberOf', 'St. John\' s Red Storm men\' s basketball', '2026-09-18']]
[['Andre Speech', 'endMemberOf', 'San Diego Toreros men\' s basketball', '2026-09-19']]
[['Bruce Doolan', 'endMemberOf', 'Tasmania cricket team', '2026-09-20']]
[['Robert Boyd ( anthropologist)', 'endWorksFor', 'Emory University', '2026-09-20']]
[['Gérard Iooss', 'startMemberOf', 'FC Tom Tomsk', '2026-09-21']]
[['Danijela Stojković', 'endMemberOf', 'Detroit Mercy Titans men\' s basketball', '2026-09-21']]
[['Junji Hirota', 'endWorksFor', 'Osaka Prefecture University', '2026-09-21']]
[['Terry Miller', 'endMemberOf', 'Michigan Wolverines men\' s basketball', '2026-09-21']]
[['Alberto Marchetti', 'endMemberOf', 'Novara F. C.', '2026-09-21']]
[['René Mücher', 'endMemberOf', 'K. Beerschot V. A. C.', '2026-09-22']]
[['Marquis Estill', 'startMemberOf', 'Borussia Dortmund II', '2026-09-22']]
[['Jean-Pierre Weiss', 'endWorksFor', 'Université Nice-Sophia-Antipolis', '2026-09-22']]
[['Nick Fozzard', 'endMemberOf', 'Warrington Wolves', '2026-09-22']]
[['Silvia Bel-Serrat', 'endWorksFor', 'University of Zaragoza', '2026-09-22']]
[['Tijan Jaiteh', 'endMemberOf', 'Sandnes Ulf', '2026-09-22']]
[['Darryl Mcdowell-White', 'endMemberOf', 'Fresno State Bulldogs men\' s basketball', '2026-09-23']]
[['Suk Fei Tan', 'endWorksFor', 'University of Putra Malaysia', '2026-09-23']]
[['Paul Toomey', 'endMemberOf', 'Pittsburgh Spirit', '2026-09-24']]
[['Bernd Meier', 'endMemberOf', 'UNC Asheville Bulldogs men\' s basketball', '2026-09-24']]
[['Ruslan Shlyakhov', 'endMemberOf', 'Borussia Mönchengladbach', '2026-09-24']]
[['Edgar Tailhades', 'endMemberOf', 'Académie De Nîmes', '2026-09-24']]
[['Ravindra M U002E Manjeshwar', 'startMemberOf', 'University of Sydney', '2026-09-24']]
[['Ivan Lacusta', 'startHomeLocation', 'San Diego', '2026-09-24']]
[['Ats Sillaste', 'endMemberOf', 'JK Tallinna Kalev', '2026-09-24']]
[['Ognjen Krasić', 'endMemberOf', 'FC Tobol', '2026-09-24']]
[['Ekaterina Kuchinskaya', 'endMemberOf', 'Bobruichanka Bobruisk', '2026-09-25']]
[['Melay, Maine-et-Loire', 'endLocation', 'Chemillé-Melay', '2026-09-25']]
[['Timo Harrikari', 'endWorksFor', 'Tampere University', '2026-09-25']]
[['Greg Matthews', 'startMemberOf', 'Kayseri Erciyesspor', '2026-09-25']]
[['Pablo Álvarez Vera', 'endMemberOf', 'FC Barcelona Hoquei', '2026-09-25']]
[['Jan Ptaszyn Wróblewski', 'endMemberOf', 'Sekstet Komedy', '2026-09-25']]
[['Torkild Brakstad', 'endMemberOf', 'Norway national under-21 football team generic instance', '2026-09-25']]
[['Herbie Jones', 'startMemberOf', 'R. E. Mouscron', '2026-09-25']]
[['Sarah Vines', 'startMemberOf', 'Hamburger SV', '2026-09-25']]
[['Zaporizhzhia National University', 'endLocation', 'Ukraine', '2026-09-25']]
[['Yune S Lee', 'endMemberOf', 'Radboud University Nijmegen', '2026-09-25']]
[['Javier Eraso', 'endWorksFor', 'MTK Budapest FC', '2026-09-25']]
[['Sona Taumalolo', 'endMemberOf', 'Racing 92', '2026-09-25']]
[['Bronwen Astor, Viscountess Astor', 'endMemberOf', 'Mikoyan generic instance', '2026-09-25']]
[['Zhang Yuanhe', 'endWorksFor', 'Racing Club de France Football', '2026-09-25']]
[['Toshiyuki Tsuchiya', 'endWorksFor', 'Kyoto University', '2026-09-26']]
[['Jing Zhang', 'endWorksFor', 'IFlytek', '2026-09-27']]
[['Rémi Cilia', 'endMemberOf', 'AC Ajaccio', '2026-09-27']]
[['Bibiana Rossa Torres', 'endMemberOf', 'Social Democratic Party ( Andorra)', '2026-09-27']]
[['Sabine Arnaud', 'endWorksFor', 'Max Planck Institute for the History of Science', '2026-09-27']]
[['Luuk Lohuis', 'endMemberOf', 'Metec– Solarwatt p u002F b Mantel', '2026-09-27']]
[['Timothy Roach', 'endWorksFor', 'Lehigh Valley Health Network', '2026-09-27']]
[['Rocio Ortiz-Lopez', 'endWorksFor', 'Autonomous University of Nuevo León', '2026-09-27']]
[['Yuttajak Kornchan', 'endMemberOf', 'Chainat Hornbill F. C.', '2026-09-27']]
[['Joan Ferrando', 'endMemberOf', 'Cb Manresa', '2026-09-29']]
[['Ömer Ateş', 'startMemberOf', 'Bologna F. C. 1909', '2026-09-29']]
[['Matthew I Bellgard', 'endWorksFor', 'Murdoch University', '2026-09-29']]
[['Gabriela Riego', 'endMemberOf', 'Polytechnic Institute Of Tomar', '2026-09-29']]
[['Kyle Davies ( soccer)', 'endMemberOf', 'Diósgyőri VTK', '2026-09-29']]
[['Angel Branch', 'endWorksFor', 'United States men\' s national under-23 soccer team', '2026-09-29']]
[['Curtis Bunn', 'endMemberOf', 'Norfolk State Spartans men\' s basketball', '2026-09-30']]
[['Philippe Nemo', 'startMemberOf', 'Detroit Mercy Titans men\' s basketball', '2026-09-30']]
[['Viktor Pasulko', 'endMemberOf', 'UMass Minutemen basketball', '2026-09-30']]
[['Jiaqi Ng', 'startMemberOf', 'ACF Fiorentina', '2026-09-30']]
[['Stevie Taylor', 'endMemberOf', 'Ohio Bobcats men\' s basketball', '2026-09-30']]
[['Seidou Idrissa', 'endMemberOf', 'Aevolo', '2026-09-30']]
[['Shuzo Nakamura', 'startMemberOf', 'Coton Sport FC de Garoua', '2026-09-30']]
[['Clare Arnott', 'startMemberOf', 'Gene Technology Access Centre', '2026-09-30']]
[['Monica Konar', 'endWorksFor', 'Institute of Microbial Technology', '2026-09-30']]
[['Ana Maria Compagna', 'startMemberOf', 'Calgary Boomers', '2026-09-30']]
[['Junjie Zhang', 'endMemberOf', 'Suwon FC', '2026-09-30']]
[['Mariana Monteiro', 'endMemberOf', 'University of Dundee', '2026-09-30']]
[['Nuwan Pradeep', 'endMemberOf', 'Basnahira North cricket team', '2026-09-30']]
[['Marek Sokołowski', 'endMemberOf', 'Dyskobolia Grodzisk Wielkopolski', '2026-09-30']]
[['Henry McLeish', 'startMemberOf', 'German Research Foundation', '2026-09-30']]
[['Elena Diana Scherb', 'endWorksFor', 'Portogruaro Calcio A. S. D.', '2026-09-30']]
[['Knud Munk', 'startMemberOf', 'Guatemala national football team', '2026-09-30']]
[['James Chappell', 'startMemberOf', 'FC Chernomorets Balchik', '2026-09-30']]
[['Louise Cornmark', 'endWorksFor', 'Lund University', '2026-09-30']]
[['Adrià Domenech', 'endWorksFor', 'German Research Foundation', '2026-09-30']]
[['Maria Unwin', 'endWorksFor', 'University Of Tasmania Launceston Campus', '2026-09-30']]
[['Barry Nicholson', 'endMemberOf', 'Preston North End F. C.', '2026-09-30']]
[['Turgut Gül', 'endMemberOf', 'Adanaspor', '2026-09-30']]
[['Qingye Liu', 'startMemberOf', 'Sportfreunde Siegen', '2026-09-30']]
[['Sergio Forcelloni', 'endWorksFor', 'Sapienza University of Rome', '2026-09-30']]
[['Rocky Dundas', 'startMemberOf', 'Scuderia Ferrari', '2026-09-30']]
[['Giacomo Tulli', 'endMemberOf', 'Viborg FF', '2026-09-30']]
[['Florian Dörfler', 'endMemberOf', 'Clemson University', '2026-09-30']]
[['Derek O U0027 Bryan', 'startMemberOf', 'U. S. Ancona', '2026-09-30']]
[['Franco ( footballer, born 1987)', 'endMemberOf', 'FK Pobeda', '2026-09-30']]
[['Carlos Alberto ( footballer, born January 1984)', 'startMemberOf', 'Universidade do Vale do Paraíba', '2026-09-30']]
[['Petra Berg', 'endWorksFor', 'Nalbach', '2026-09-30']]
[['Carlos Zavala', 'endMemberOf', 'Rochester New York FC', '2026-09-30']]
[['Carina Beatrice Vibe', 'startMemberOf', '', '2026-09-30']]
[['Tomáš Linka', 'startMemberOf', 'FC Groningen', '2026-09-30']]
[['Sau Man Corine Wong', 'endWorksFor', 'University of Hong Kong', '2026-09-30']]
[['James Grady', 'endMemberOf', 'Hamilton Academical F. C.', '2026-09-30']]
[['Ahmed M Nassef', 'endWorksFor', 'Tanta University Faculty Of Engineering', '2026-09-30']]
[['Luke Kiss', 'endMemberOf', 'Green Bay Phoenix men\' s basketball', '2026-09-30']]
